0, 0, rio, 0, 1, 0, 1, 140, 62, 178, 51.71
0, 1, rio, 2, 1, 0, 1, 110, 31, 38, 6.35
0, 2, rio, 1, 0, 0, 0, 0, 0, 0, 94.96
0, 3, tierra, 4, 0, 0, 0, 0, 0, 0, 30.30
1, 0, rio, 2, 2, 75, 0, 0, 0, 0, 15.32
1, 1, roca, 16, 1, 0, 1, 39, 0, 44, 47.53
1, 2, rio, 0, 1, 0, 1, 24, 116, 144, 68.22
1, 3, roca, 14, 1, 0, 1, 11, 193, 14, 3.51
2, 0, rio, 0, 1, 0, 1, 13, 153, 41, 54.95
2, 1, rio, 1, 2, 15, 0, 0, 0, 0, 31.69
2, 2, roca, 19, 1, 0, 1, 110, 101, 96, 19.60
2, 3, tierra, 6, 1, 0, 1, 132, 23, 96, 99.46
3, 0, rio, 3, 1, 0, 1, 128, 87, 35, 65.76
3, 1, rio, 3, 0, 0, 0, 0, 0, 0, 10.99
3, 2, roca, 15, 2, 128, 0, 0, 0, 0, 33.63
3, 3, rio, 1, 0, 0, 0, 0, 0, 0, 70.80
