0, 0, tierra, 8, 2, 179, 0, 0, 0, 0, 57.79
0, 1, rio, 0, 2, 37, 0, 0, 0, 0, 96.30
0, 2, tierra, 7, 2, 154, 0, 0, 0, 0, 17.84
0, 3, roca, 16, 2, 180, 0, 0, 0, 0, 62.52
0, 4, rio, 3, 1, 0, 1, 180, 169, 56, 22.73
0, 5, rio, 2, 0, 0, 0, 0, 0, 0, 62.81
1, 0, roca, 12, 2, 92, 0, 0, 0, 0, 63.47
1, 1, tierra, 5, 0, 0, 0, 0, 0, 0, 72.09
1, 2, tierra, 8, 2, 59, 0, 0, 0, 0, 55.51
1, 3, roca, 14, 2, 117, 0, 0, 0, 0, 69.85
1, 4, tierra, 7, 2, 21, 0, 0, 0, 0, 74.07
1, 5, rio, 0, 2, 31, 0, 0, 0, 0, 14.91
2, 0, roca, 18, 1, 0, 1, 42, 126, 9, 66.78
2, 1, rio, 2, 0, 0, 0, 0, 0, 0, 30.58
2, 2, roca, 13, 0, 0, 0, 0, 0, 0, 85.12
2, 3, roca, 13, 2, 188, 0, 0, 0, 0, 7.66
2, 4, rio, 1, 2, 15, 0, 0, 0, 0, 40.90
2, 5, rio, 3, 1, 0, 1, 178, 133, 62, 31.39
3, 0, tierra, 8, 0, 0, 0, 0, 0, 0, 72.50
3, 1, tierra, 6, 2, 144, 0, 0, 0, 0, 78.50
3, 2, roca, 9, 0, 0, 0, 0, 0, 0, 7.23
3, 3, rio, 1, 1, 0, 1, 17, 67, 4, 29.03
3, 4, tierra, 4, 1, 0, 1, 135, 59, 162, 49.68
3, 5, tierra, 5, 1, 0, 1, 37, 151, 168, 39.52
4, 0, tierra, 9, 0, 0, 0, 0, 0, 0, 62.31
4, 1, roca, 10, 2, 1, 0, 0, 0, 0, 38.01
4, 2, rio, 2, 1, 0, 1, 161, 169, 158, 37.42
4, 3, roca, 10, 0, 0, 0, 0, 0, 0, 61.20
4, 4, rio, 0, 2, 41, 0, 0, 0, 0, 13.16
4, 5, rio, 1, 1, 0, 1, 129, 43, 79, 12.65
5, 0, rio, 2, 1, 0, 1, 151, 108, 149, 34.10
5, 1, roca, 19, 2, 162, 0, 0, 0, 0, 80.69
5, 2, rio, 0, 0, 0, 0, 0, 0, 0, 90.06
5, 3, roca, 11, 1, 0, 1, 72, 52, 83, 6.62
5, 4, roca, 19, 2, 69, 0, 0, 0, 0, 22.56
5, 5, roca, 15, 2, 193, 0, 0, 0, 0, 28.42
